Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Australia,AUS,GDP (current US$),NY.GDP.MKTP.CD,18593347519,19666256020,19911524247,21527606675,23787658192,25962593795,27288610147,30421099787,32687870982,36659200358,41304737373,45183111211,52003504673,63782190903,88906411201,97226546497,1.04974E+11,1.10266E+11,1.18401E+11,1.34794E+11,1.49887E+11,1.76805E+11,1.93955E+11,1.77176E+11,1.93504E+11,1.80471E+11,1.82282E+11,1.89376E+11,2.36136E+11,2.99941E+11,3.11426E+11,3.26069E+11,3.25693E+11,3.12373E+11,3.23217E+11,3.68392E+11,4.01819E+11,4.36098E+11,3.99779E+11,3.89147E+11,4.15446E+11,3.789E+11,3.94636E+11,4.66853E+11,6.1333E+11,6.93764E+11,7.47573E+11,8.53765E+11,1.05533E+12,9.27168E+11,1.14288E+12,1.39056E+12,1.53819E+12,1.56718E+12,1.4596E+12,1.34538E+12,1.20462E+12
Australia,AUS,Imports of goods and services (current US$),NE.IMP.GNFS.CD,2611714638,2952178295,2512039422,2974577220,3270243028,3959009968,4124762011,4222197335,4730652929,4882965618,5455258148,5839399709,6251168224,7062139654,11784819455,14352041513,14071599647,16180316586,17304308595,20742928547,23893036212,29641239986,32685644930,27726719701,29067197971,31256424024,32979854505,32383536263,39316065192,50963276606,53254328588,52891452790,53566869184,55920460933,59734347976,73036828037,77569802731,81973704805,81368785186,80249404687,89083715380,83150692283,81408539138,98146185207,1.2079E+11,1.44095E+11,1.59927E+11,1.83462E+11,2.35793E+11,2.07759E+11,2.33202E+11,2.79402E+11,3.28788E+11,3.27211E+11,3.07764E+11,2.84286E+11,2.53979E+11
Australia,AUS,Exports of goods and services (current US$),NE.EXP.GNFS.CD,2413484153,2437003024,2772986897,2796505768,3549109643,3428155449,3525590772,3915332064,4016127226,4377869862,5354462986,5715085676,6663551402,9019859065,11680176861,13874095316,14185049792,15449644414,16123392736,19275247075,24616155989,26334610473,26231932031,24060832943,26236189096,27497123571,27321628428,29290629963,37674621653,45334256168,47071950750,52249430971,54226716911,54747048904,58015219647,65793733294,75814112291,83327594303,78237807773,71357312946,80650631162,83817752495,81500104646,88243447874,1.0424E+11,1.25269E+11,1.46423E+11,1.69724E+11,2.08368E+11,2.08703E+11,2.22103E+11,2.9385E+11,3.27174E+11,3.09446E+11,3.03843E+11,2.64829E+11,2.27285E+11
Australia,AUS,"Population, total",SP.POP.TOTL,10276477,10483000,10742000,10950000,11167000,11388000,11651000,11799000,12009000,12263000,12507000,12937000,13177000,13380000,13723000,13893000,14033000,14192000,14358000,14514000,14692000,14927000,15178000,15369000,15544000,15758000,16018400,16263900,16532200,16814400,17065100,17284000,17495000,17667000,17855000,18072000,18311000,18517000,18711000,18926000,19153000,19413000,19651400,19895400,20127400,20394800,20697900,20827600,21249200,21691700,22031750,22340024,22728254,23117353,23460694,23789338,24127159
Australia,AUS,Population in largest city,EN.URB.LCTY,2134673,2183523,2233459,2284537,2336856,2390224,2445016,2549933,2659506,2773466,2892477,3016037,3041223,3066549,3092121,3117906,3143945,3170608,3197534,3224688,3252111,3279743,3317267,3355221,3393661,3432435,3471704,3511087,3550973,3591200,3631940,3673110,3709185,3745512,3782247,3819341,3856907,3904835,3953426,4002622,4052499,4102745,4133013,4163504,4194262,4225162,4256307,4283072,4310042,4337107,4364380,4391824,4419441,4447231,4475196,4505341,4539598
Australia,AUS,GDP per capita (current US$),NY.GDP.PCAP.CD,1809.311452,1876.01412,1853.614248,1965.991477,2130.17446,2279.820319,2342.168925,2578.277802,2721.947788,2989.415344,3302.529573,3492.549371,3946.535985,4766.979888,6478.642513,6998.239869,7480.521526,7769.59668,8246.317846,9287.158625,10201.9783,11844.63254,12778.66257,11528.1681,12448.78373,11452.65689,11379.52337,11643.94718,14283.38445,17838.36312,18249.28849,18865.34352,18616.32081,17681.14687,18102.31756,20384.66929,21944.15506,23551.22217,21365.98141,20561.47678,21690.921,19517.84168,20081.81763,23465.38559,30472.37977,34016.71483,36118.28381,40991.98289,49664.68504,42742.99898,51874.08048,62245.10029,67677.63477,67792.30386,62214.60912,56554.03876,49927.81951
Brazil,BRA,GDP (current US$),NY.GDP.MKTP.CD,15165569913,15236854859,19926293839,23021477292,21211892260,21790035117,27062716578,30591834054,33875881876,37458898244,42327600098,49204456700,58539008786,79279057731,1.05136E+11,1.23709E+11,1.52678E+11,1.76171E+11,2.00801E+11,2.24969E+11,2.35025E+11,2.63561E+11,2.81682E+11,2.03305E+11,2.09024E+11,2.22943E+11,2.68137E+11,2.94084E+11,3.30397E+11,4.25595E+11,4.61952E+11,6.0286E+11,4.00599E+11,4.37799E+11,5.58112E+11,7.85643E+11,8.50426E+11,8.83199E+11,8.63723E+11,5.99389E+11,6.55421E+11,5.59373E+11,5.07963E+11,5.5832E+11,6.69316E+11,8.9163E+11,1.10764E+12,1.39708E+12,1.69582E+12,1.66702E+12,2.20887E+12,2.6162E+12,2.46519E+12,2.47281E+12,2.45599E+12,1.80365E+12,1.79619E+12
Brazil,BRA,Exports of goods and services (current US$),NE.EXP.GNFS.CD,1070544629,1109152823,770900519.7,2080325262,1354466135,1685625122,1846958712,1764834055,2032731103,2479930322,2975391707,3155632739,4249449496,6557708238,8424673828,9325921437,10741988183,12776590679,13404621905,16026612550,21276141968,24828388399,21435129573,23221079049,28317692073,27305943051,23640556197,27820190045,35974382968,38004000000,37880000000,52310000000,43538125000,45983167702,53941811356,57921978860,57235100985,61679962894,60724687635,57330688268,66775075157,69203724173,72286328432,84757556061,1.10744E+11,1.35918E+11,1.59216E+11,1.86198E+11,2.29513E+11,1.80894E+11,2.37192E+11,2.99977E+11,2.88502E+11,2.87592E+11,2.70453E+11,2.32477E+11,2.24312E+11
Brazil,BRA,Imports of goods and services (current US$),NE.IMP.GNFS.CD,1079376915,1118302726,1033970196,2097486801,1204326396,1210637974,1621508461,1764834055,2239326015,2454948720,3153304260,4004245614,5177234172,7532763885,14596797400,14233481673,14401534168,13948797700,15791774011,20642227950,26571483280,25827534749,23307743171,18314364419,16563864377,15818492272,17038985217,18211636976,18807996682,23242900391,32160000000,47710000000,33590625000,39822360248,53957453465,72751443827,75733757835,84720779221,81259801810,68433900920,81610822629,81470538220,68004708451,72356191095,87897777778,1.05596E+11,1.29232E+11,1.6716E+11,2.32728E+11,1.87616E+11,2.60188E+11,3.20105E+11,3.22009E+11,3.44504E+11,3.35819E+11,2.53714E+11,2.17796E+11
Brazil,BRA,"Population, total",SP.POP.TOTL,72207554,74351763,76573248,78854019,81168654,83498020,85837799,88191378,90557064,92935072,95326793,97728961,100143598,102584278,105069367,107612100,110213082,112867867,115577669,118342626,121159761,124030908,126947365,129882321,132800684,135676281,138499464,141273488,144001542,146691981,149352145,151976577,154564278,157132682,159705123,162296612,164913306,167545164,170170640,172759243,175287587,177750670,180151021,182482149,184738458,186917361,189012412,191026637,192979029,194895996,196796269,198686688,200560983,202408632,204213133,205962108,207652865
Brazil,BRA,Population in largest city,EN.URB.LCTY,4493182,4681086,4878624,5084497,5299360,5522674,5865661,6262294,6686349,7137833,7620490,8004335,8380068,8772332,9183536,9614016,10065309,10536457,11030355,11547405,12089454,12383528,12628957,12879250,13134858,13394815,13660287,13931020,14207502,14488689,14775840,15068681,15288036,15493544,15702105,15913473,16127983,16344782,16564802,16787782,17014078,17260029,17511506,17766646,18025864,18288134,18554591,18824929,19099587,19377480,19659808,19946249,20236863,20531712,20830857,21066245,21296830
Brazil,BRA,GDP per capita (current US$),NY.GDP.PCAP.CD,210.0274704,204.9293015,260.2252661,291.950589,261.3310831,260.9646925,315.2773824,346.8801004,374.0832618,403.0652523,444.0262676,503.4787661,584.5506848,772.8187913,1000.634253,1149.586121,1385.29853,1560.86306,1737.367552,1901.001325,1939.790876,2124.962989,2218.890515,1565.297832,1573.967139,1643.196503,1936.016335,2081.665262,2294.401695,2901.285449,3093.037479,3966.795488,2591.797116,2786.171356,3494.640541,4840.787782,5156.805408,5271.411137,5075.631114,3469.503972,3739.119036,3146.950177,2819.649531,3059.587582,3623.047667,4770.182746,5860.145975,7313.557962,8787.610375,8553.38047,11224.15408,13167.47289,12291.46685,12216.90446,12026.61731,8757.206202,8649.948492
Canada,CAN,GDP (current US$),NY.GDP.MKTP.CD,41093453545,40767969454,41978852041,44657169109,48882938810,53909570342,60358632035,64768831262,70759031842,77887510242,87896095224,99271961478,1.13083E+11,1.31322E+11,1.60409E+11,1.73834E+11,2.06576E+11,2.11612E+11,2.18633E+11,2.43072E+11,2.73854E+11,3.06215E+11,3.13507E+11,3.40548E+11,3.55373E+11,3.64756E+11,3.77438E+11,4.31317E+11,5.07354E+11,5.65056E+11,5.9393E+11,6.10328E+11,5.92388E+11,5.77171E+11,5.78139E+11,6.04032E+11,6.28546E+11,6.52825E+11,6.31813E+11,6.76083E+11,7.42293E+11,7.3638E+11,7.57951E+11,8.92381E+11,1.0232E+12,1.16936E+12,1.31542E+12,1.46498E+12,1.54913E+12,1.37115E+12,1.61346E+12,1.78865E+12,1.82429E+12,1.84263E+12,1.79288E+12,1.55281E+12,1.52976E+12
Canada,CAN,Imports of goods and services (current US$),NE.IMP.GNFS.CD,7452527623,7359338827,7469254670,7792434890,8874461306,10055817479,11653023568,12469546116,14139540131,16467693333,17034787061,19266916221,23016335084,28022835316,38321052045,41211329925,46290677789,48445935402,52877847462,62707546952,70404560896,78611226958,66961173705,73958941902,87017990889,92167704138,98333213386,1.07112E+11,1.28295E+11,1.41234E+11,1.47858E+11,1.51757E+11,1.57205E+11,1.6803E+11,1.82802E+11,1.99284E+11,2.08617E+11,2.36596E+11,2.4081E+11,2.59053E+11,2.86676E+11,2.67822E+11,2.70575E+11,2.94625E+11,3.36556E+11,3.84891E+11,4.29507E+11,4.69362E+11,5.05034E+11,4.10146E+11,4.99993E+11,5.68146E+11,5.87121E+11,5.86141E+11,5.84533E+11,5.27476E+11,5.1041E+11
Canada,CAN,Exports of goods and services (current US$),NE.EXP.GNFS.CD,6971938200,7237503017,7464915853,8151311703,9379474862,9992735996,11671587968,13127741481,14998956980,16547561104,19268786774,20915471480,24074940600,29903797120,38628506953,38310330810,44944129412,48194022473,53797091961,64188302885,75548816114,80971724080,79140795980,85042194093,99463361903,1.0065E+11,1.0202E+11,1.12299E+11,1.32298E+11,1.41573E+11,1.48911E+11,1.48537E+11,1.55086E+11,1.68142E+11,1.89509E+11,2.18086E+11,2.33248E+11,2.49008E+11,2.53008E+11,2.83124E+11,3.28372E+11,3.09546E+11,3.03441E+11,3.28645E+11,3.81529E+11,4.30267E+11,4.64728E+11,5.00336E+11,5.3171E+11,3.89898E+11,4.69066E+11,5.46694E+11,5.51183E+11,5.55798E+11,5.66203E+11,4.90372E+11,4.74219E+11
Canada,CAN,"Population, total",SP.POP.TOTL,17909009,18271000,18614000,18964000,19325000,19678000,20048000,20412000,20744000,21028000,21324000,21645535,21993631,22369408,22774087,23209000,23518000,23796000,24036000,24277000,24593000,24900000,25202000,25456000,25702000,25942000,26204000,26550000,26895000,27379000,27791000,28171682,28519597,28833410,29111906,29354000,29671900,29987200,30247900,30499200,30769700,31081900,31362000,31676000,31995000,32312000,32570505,32887928,33245773,33628571,34005274,34342780,34750545,35155451,35544564,35848610,36286425
Canada,CAN,Population in largest city,EN.URB.LCTY,2031108,2114517,2176403,2240102,2305756,2373145,2441566,2500090,2560101,2621381,2684215,2744174,2755944,2767733,2779588,2791494,2807079,2855955,2905750,2956414,3008032,3061725,3132656,3205229,3279588,3355459,3433952,3523629,3615776,3710070,3806957,3904154,3975528,4048005,4121907,4197157,4274256,4355039,4437464,4521449,4607142,4693504,4776698,4861366,4947655,5035232,5124530,5215742,5308706,5403064,5499233,5597114,5696737,5798134,5901335,5992739,6082916
Canada,CAN,GDP per capita (current US$),NY.GDP.PCAP.CD,2294.568814,2231.293824,2255.230044,2354.839122,2529.518179,2739.585849,3010.705908,3173.076194,3411.060154,3703.990405,4121.932809,4586.255848,5141.616725,5870.600564,7043.474351,7489.940531,8783.721592,8892.76168,9096.058722,10012.44397,11135.43799,12297.78569,12439.74784,13377.89565,13826.64999,14060.46178,14403.8287,16245.45168,18864.26292,20638.29005,21371.2911,21664.59864,20771.25035,20017.42985,19859.20398,20577.48939,21183.22008,21770.13408,20887.83947,22167.22585,24124.16917,23691.59472,24167.80431,28172.14883,31979.87195,36189.58838,40386.69948,44544.5268,46596.33599,40773.45436,47447.47602,52082.21076,52496.69487,52413.72116,50440.43376,43315.70044,42157.92799
China,CHN,GDP (current US$),NY.GDP.MKTP.CD,59716467625,50056868958,47209359006,50706799903,59708343489,70436266147,76720285970,72881631327,70846535056,79705906247,92602973434,99800958648,1.13688E+11,1.38544E+11,1.44182E+11,1.63432E+11,1.5394E+11,1.74938E+11,1.49541E+11,1.78283E+11,1.9115E+11,1.95865E+11,2.05092E+11,2.30686E+11,2.59946E+11,3.09486E+11,3.00759E+11,2.72973E+11,3.12354E+11,3.47767E+11,3.60859E+11,3.83373E+11,4.26915E+11,4.44731E+11,5.64325E+11,7.34548E+11,8.63746E+11,9.61603E+11,1.02904E+12,1.094E+12,1.21135E+12,1.3394E+12,1.47055E+12,1.66029E+12,1.95535E+12,2.28597E+12,2.75213E+12,3.55218E+12,4.59821E+12,5.10995E+12,6.10062E+12,7.57255E+12,8.56055E+12,9.60722E+12,1.04824E+13,1.10647E+13,1.11991E+13
China,CHN,Exports of goods and services (current US$),NE.EXP.GNFS.CD,2571289301,1937606629,1913234219,2031034203,2250385896,2563165164,2680965147,2388496222,2339751401,2429116906,2307254854,2782516858,3692485858,5876143561,7107893127,7688998817,6943442876,7519646894,6813008130,9204347826,11300000000,14587301587,22695615076,22280723333,24772194893,26563850476,26422791623,35090911323,46026013498,43054088927,50613099178,58573892125,68851090754,79894597197,1.08829E+11,1.35421E+11,1.61068E+11,1.78262E+11,1.93068E+11,2.04359E+11,2.57238E+11,2.79112E+11,3.38084E+11,4.61132E+11,6.21343E+11,7.88941E+11,1.02311E+12,1.27695E+12,1.47254E+12,1.24469E+12,1.60248E+12,2.0063E+12,2.17508E+12,2.35425E+12,2.52416E+12,2.43126E+12,2.19997E+12
China,CHN,Imports of goods and services (current US$),NE.IMP.GNFS.CD,2644406532,1746689414,1372979121,1450158421,1710130799,2246323828,2481923796,2169144528,2067592818,1917296287,2278820375,2128523844,2850652532,5207600281,7791148277,7925583396,6660142165,7148239854,7617886179,10560869565,12450000000,14591269841,17788124809,19385304444,24710305071,38302403265,33592580696,33781853901,48984701337,46118793482,38461758929,43941659164,61849400126,86072328750,97250445195,1.19901E+11,1.37262E+11,1.44624E+11,1.44914E+11,1.68058E+11,2.24306E+11,2.43974E+11,2.9562E+11,4.12137E+11,5.56183E+11,6.48712E+11,7.82812E+11,9.49017E+11,1.14648E+12,1.02959E+12,1.38008E+12,1.8254E+12,1.94322E+12,2.11938E+12,2.26125E+12,2.04576E+12,1.95037E+12
China,CHN,"Population, total",SP.POP.TOTL,667070000,660330000,665770000,682335000,698355000,715185000,735400000,754550000,774510000,796025000,818315000,841105000,862030000,881940000,900350000,916395000,930685000,943455000,956165000,969005000,981235000,993885000,1008630000,1023310000,1036825000,1051040000,1066790000,1084035000,1101630000,1118650000,1135185000,1150780000,1164970000,1178440000,1191835000,1204855000,1217550000,1230075000,1241935000,1252735000,1262645000,1271850000,1280400000,1288400000,1296075000,1303720000,1311020000,1317885000,1324655000,1331260000,1337705000,1344130000,1350695000,1357380000,1364270000,1371220000,1378665000
China,CHN,Population in largest city,EN.URB.LCTY,6819634,6718379,6618492,6520089,6423017,6428131,6385767,6296598,6208554,6121978,6036492,5952201,5868972,5787132,5706322,5626640,5547964,5470600,5630964,5796030,5966171,6140818,6320829,6491492,6667007,6846765,7031628,7221482,7416734,7616707,7823028,8289327,8784122,9306966,9861717,10449535,11073273,11732372,12431692,13172695,13958981,14567277,15087756,15626832,16185952,16763455,17362403,17982750,18626163,19290732,19979977,20693849,21434264,22199023,22991068,23740778,24483789
China,CHN,GDP per capita (current US$),NY.GDP.PCAP.CD,89.52054151,75.80583793,70.90941167,74.31364345,85.49855516,98.48677775,104.3245662,96.58953194,91.47271831,100.1299033,113.1629916,118.6545778,131.8835612,157.0903743,160.1400937,178.3418196,165.4055404,185.4228329,156.3962814,183.9852309,194.8055257,197.0701634,203.3368064,225.4310265,250.7138896,294.4572943,281.9293584,251.8120671,283.5379478,310.8811572,317.8851981,333.1417146,366.4602759,377.3895183,473.4927622,609.6567653,709.4134628,781.743728,828.5804103,873.2872953,959.3721081,1053.108024,1148.508057,1288.642924,1508.668462,1753.4178,2099.229676,2695.366223,3471.247547,3838.434292,4560.512487,5633.796106,6337.882993,7077.770594,7683.502038,8069.211938,8123.180873
France,FRA,GDP (current US$),NY.GDP.MKTP.CD,62651474947,68346741504,76313782252,85551113767,94906593388,1.02161E+11,1.10597E+11,1.19466E+11,1.29847E+11,1.40725E+11,1.48949E+11,1.66564E+11,2.04283E+11,2.65382E+11,2.86526E+11,3.62001E+11,3.7341E+11,4.11464E+11,5.08183E+11,6.15834E+11,7.03525E+11,6.1759E+11,5.86837E+11,5.61852E+11,5.32649E+11,5.55197E+11,7.74556E+11,9.38368E+11,1.0235E+12,1.03012E+12,1.2753E+12,1.27556E+12,1.40872E+12,1.33009E+12,1.40164E+12,1.60989E+12,1.61425E+12,1.46071E+12,1.51076E+12,1.50028E+12,1.36844E+12,1.38222E+12,1.50034E+12,1.84812E+12,2.12411E+12,2.20368E+12,2.32501E+12,2.66311E+12,2.92347E+12,2.69383E+12,2.64684E+12,2.86268E+12,2.68142E+12,2.80851E+12,2.84931E+12,2.43356E+12,2.46545E+12
France,FRA,Imports of goods and services (current US$),NE.IMP.GNFS.CD,7874771893,8433174750,9246854520,10665733809,12384789421,12845806484,14652769102,15654898773,17479359121,20830196887,22840439353,25680123121,32141742523,44500589275,61875340971,64246596298,75251297460,83474190960,96984011628,1.24406E+11,1.57541E+11,1.43897E+11,1.39146E+11,1.26747E+11,1.25451E+11,1.30676E+11,1.57688E+11,1.92758E+11,2.13703E+11,2.28608E+11,2.75634E+11,2.74227E+11,2.88901E+11,2.52204E+11,2.80513E+11,3.35922E+11,3.40833E+11,3.26303E+11,3.50646E+11,3.52762E+11,3.70654E+11,3.66599E+11,3.80722E+11,4.53181E+11,5.37141E+11,5.90215E+11,6.51268E+11,7.56838E+11,8.51828E+11,6.86824E+11,7.39135E+11,8.69267E+11,8.2262E+11,8.56336E+11,8.78275E+11,7.59666E+11,7.6801E+11
France,FRA,Exports of goods and services (current US$),NE.EXP.GNFS.CD,9019483362,9513310197,9793338485,10775818755,11993208179,13515048018,14696648797,15703743029,17106381716,19717925360,23531357033,27175328519,33672301691,46162345315,58701582106,67713018204,71733133024,82717304092,1.02174E+11,1.26733E+11,1.46649E+11,1.34706E+11,1.24699E+11,1.25145E+11,1.26038E+11,1.2849E+11,1.56594E+11,1.82341E+11,2.06707E+11,2.21302E+11,2.65415E+11,2.70016E+11,2.97934E+11,2.74135E+11,3.00818E+11,3.60711E+11,3.6841E+11,3.68722E+11,3.89712E+11,3.85869E+11,3.85536E+11,3.84176E+11,4.05688E+11,4.73321E+11,5.50336E+11,5.81084E+11,6.31842E+11,7.2246E+11,8.00627E+11,6.48448E+11,6.89322E+11,7.95925E+11,7.64789E+11,8.03461E+11,8.21857E+11,7.26352E+11,7.25599E+11
France,FRA,"Population, total",SP.POP.TOTL,46814237,47444751,48119649,48803680,49449403,50023774,50508717,50915456,51276054,51638260,52035095,52480421,52959228,53441264,53882416,54252574,54541493,54764462,54947975,55130594,55340782,55585824,55858727,56156284,56470769,56795686,57132691,57482591,57836486,58182702,58512808,58559312,58851216,59106766,59327194,59541900,59753098,59964845,60186291,60496715,60912498,61357431,61805267,62244884,62704897,63179356,63621376,64016229,64374990,64707044,65027512,65342776,65659790,65998570,66331957,66624068,66896109
France,FRA,Population in largest city,EN.URB.LCTY,7410735,7539888,7650751,7718298,7786535,7855185,7924537,7994501,8065180,8136287,8208121,8280588,8353797,8427449,8501853,8557844,8580055,8602261,8624556,8646908,8669349,8691787,8731086,8805496,8880643,8956222,9032550,9109528,9187270,9265459,9330327,9366009,9401876,9437781,9473873,9510103,9546522,9582980,9619628,9666887,9736538,9806497,9877056,9948123,10019801,10091795,10164407,10237542,10311304,10385393,10460118,10535381,10611185,10687534,10764433,10843285,10925231
France,FRA,GDP per capita (current US$),NY.GDP.PCAP.CD,1338.299606,1440.55433,1585.917267,1752.964403,1919.266718,2042.240384,2189.670888,2346.362952,2532.314748,2725.217643,2862.469268,3173.840026,3857.37279,4965.854769,5317.61951,6672.511388,6846.352197,7513.344973,9248.441631,11170.46017,12712.6014,11110.55977,10505.73547,10005.15167,9432.292357,9775.339435,13557.14722,16324.39356,17696.51115,17704.95898,21795.23783,21782.4162,23937.05692,22503.26085,23625.529,27037.97213,27015.25896,24359.42506,25101.36874,24799.29601,22465.64184,22527.31775,24275.2426,29691.18158,33874.74255,34879.72633,36544.50853,41600.58397,45413.06571,41631.13141,40703.34279,43810.20088,40838.02444,42554.12205,42955.24287,36526.77011,36854.96828
India,IND,GDP (current US$),NY.GDP.MKTP.CD,36535925031,38709096076,41599070242,47776000900,55726873084,58760424670,45253641303,49466168891,52377324284,57668330026,61589800520,66452561866,70509913049,84374541630,98198276857,97159222024,1.01347E+11,1.19867E+11,1.35469E+11,1.50951E+11,1.8384E+11,1.9091E+11,1.98038E+11,2.15351E+11,2.09328E+11,2.2941E+11,2.45665E+11,2.75311E+11,2.92633E+11,2.92093E+11,3.16697E+11,2.66502E+11,2.84364E+11,2.7557E+11,3.2291E+11,3.55476E+11,3.87656E+11,4.1032E+11,4.15731E+11,4.527E+11,4.62147E+11,4.78965E+11,5.08069E+11,5.99593E+11,6.99689E+11,8.08901E+11,9.20317E+11,1.20111E+12,1.18695E+12,1.32394E+12,1.65662E+12,1.82305E+12,1.82764E+12,1.85672E+12,2.03539E+12,2.11175E+12,2.26352E+12
India,IND,Imports of goods and services (current US$),NE.IMP.GNFS.CD,2524559174,2331812747,2537129593,2853485141,3203361806,3096448218,3052813020,2974331116,2617837047,2350466495,2415646381,2689325595,2644280575,4029684054,5977952289,6530031017,6266084685,7593218815,9024354391,12468788519,17185368005,16545589068,16305101700,17099802142,16352793177,17734900122,17445341352,19431448918,22059460061,24076696407,27068347588,22887476747,27574767577,27354991285,33271248863,43216689535,45250757677,49490977677,53306090615,61170611045,64971207881,65065216525,78314209114,94848356578,1.38983E+11,1.83305E+11,2.29415E+11,3.02093E+11,3.50103E+11,3.46362E+11,4.48917E+11,5.66667E+11,5.71307E+11,5.27555E+11,5.2924E+11,4.69967E+11,4.67066E+11
India,IND,Exports of goods and services (current US$),NE.EXP.GNFS.CD,1647786571,1683380436,1752474410,2066537924,2097944275,1963902600,1894349461,2016651321,2137623813,2164211174,2354310804,2462553547,2869612866,3588431478,4794115595,5544282326,6847770619,7731682166,8644488582,10295672713,11405519012,11451496167,11973673454,12703450353,13291108211,12181130150,12899387364,15592154036,17846564186,20708945862,22572444953,22875165149,25410266170,27384893528,32265046187,38952670262,40681677283,44327025623,46288411827,52388145272,60697346482,60782221951,73234279967,90568215341,1.26271E+11,1.6036E+11,1.99379E+11,2.52325E+11,2.88043E+11,2.72938E+11,3.74237E+11,4.47384E+11,4.48401E+11,4.7218E+11,4.68331E+11,4.21152E+11,4.34064E+11
India,IND,"Population, total",SP.POP.TOTL,449480608,458494963,467852537,477527970,487484535,497702365,508161935,518889779,529967317,541505076,553578513,566224812,579411513,593058926,607050255,621301720,635771734,650485030,665502284,680915804,696783517,713118032,729868013,746949067,764245202,781666671,799181436,816792741,834489322,852270034,870133480,888054875,906021106,924057817,942204249,960482795,978893217,997405318,1015974042,1034539214,1053050912,1071477855,1089807112,1108027848,1126135777,1144118674,1161977719,1179681239,1197146906,1214270132,1230980691,1247236029,1263065852,1278562207,1293859294,1309053980,1324171354
India,IND,Population in largest city,EN.URB.LCTY,5652240,5775520,5893245,6013370,6136115,6261017,6388638,6518862,6651924,6787325,6925675,7078956,7273302,7472427,7677289,7887768,8104319,8326195,8554464,8788991,9030285,9249912,9419173,9670233,10024594,10390912,10771149,11165300,11574447,11997400,12436423,12852422,13202723,13561569,13930684,14309845,14699869,15099407,15510378,15932535,16366787,16753128,17030562,17504993,18079156,18670494,19282029,19913595,20566759,21239462,21935142,22653608,23395607,24161909,24953311,25703168,26453827
